"year","agency","name_of_not_for_profit"
"2019","District Attorney - Queens County","No organizations to report"
"2019","District Attorney - Richmond County","No organizations to report"
"2019","Economic Development Corporation","No organizations to report"
"2019","Employees' Retirement System","Autism Society (Autism Speaks inc.)"
"2019","Environmental Control Board","No organizations to report"
"2019","Environmental Protection (Department of)","No organizations to report"
"2019","Equal Employment Practices Commission","No organizations to report"
"2019","Finance (Department of)","No organizations to report"
"2019","Financial Information Services Agency / Office of Payroll Administration","No organizations to report"
"2019","Housing Authority","National Book Foundation"
"2019","Housing Authority","Hance Family Foundation"
"2019","Housing Preservation and Development (Department of)","The Mayor's Fund to Advance New York City"
"2019","Human Rights Commission","Brandworkers - 2019 Awards Dinner"
"2019","Human Rights Commission","OCA-NY - 43rd Anniversary Community Service & Leadership Awards Gala"
"2019","Independent Budget Office","No organizations to report"
"2019","Information Technology and Telecommunications (Department of)","No organizations to report"
"2019","Labor Relations (Office of)","No organizations to report"
"2019","Landmarks Preservation Commission","No organizations to report"
"2019","Mayor's Office","Arab American Family Support Center"
"2019","Mayor's Office","Abt Associates"
"2019","Mayor's Office","NYC Alliance Against Sexual Assault"
"2019","Mayor's Office","Center for Court Innovation"
"2019","Mayor's Office","The Changing Room 11 (TCR11)"
"2019","Mayor's Office","Community Health Center of Richmond"
"2019","Mayor's Office","Cornell Tech"
"2019","Mayor's Office","NYS Amercian Academy of Pediatrics, Child Sex Trafficking Action Team"
"2019","Mayor's Office","NYS Psychiatric Institute"
"2019","Mayor's Office","Columbia University"
"2019","Mayor's Office","Emory University"
"2019","Mayor's Office","Justice Research and Statistics Association"
"2019","Mayor's Office","The Shed"
"2019","Mayor's Office","Safe Horizon"
"2019","Mayor's Office","STEPS to End Family Violence - Rising Ground"
"2019","Mayor's Office","Urban Institute"
"2019","Mayor's Office","Urban Resource Institute"
"2019","Mayor's Office","Voces Latinas"
"2019","Mayor's Office","Barnard College"
"2019","Mayor's Office","BK Style Foundation"
"2019","Mayor's Office","CASES"
"2019","Mayor's Office","Nontraditional Employment for Women"
"2019","Mayor's Office","The Climate Museum"
"2019","Mayor's Office","New York Live Arts"
"2019","Mayor's Office","Vibrant Emotional Health"
"2019","Mayor's Office of Contract Services","New Alternatives"
"2019","Parks and Recreation (Department of)","Battery Conservancy"
"2019","Parks and Recreation (Department of)","BRIC Arts"
"2019","Parks and Recreation (Department of)","Bronx River Alliance"
"2019","Parks and Recreation (Department of)","Brooklyn Bridge Park Conservancy"
"2019","Parks and Recreation (Department of)","City Parks Foundation"
"2019","Parks and Recreation (Department of)","Central Park Conservancy"
"2019","Parks and Recreation (Department of)","Fort Tryon Park Trust"
"2019","Parks and Recreation (Department of)","Forest Park Trust"
"2019","Parks and Recreation (Department of)","Flushing Meadows Corona Park Alliance"
"2019","Parks and Recreation (Department of)","Friends of the Highline"
"2019","Parks and Recreation (Department of)","Greenbelt Conservancy"
"2019","Parks and Recreation (Department of)","Historic House Trust"
"2019","Parks and Recreation (Department of)","New York Restoration Project"
"2019","Parks and Recreation (Department of)","Madison Sq Park Conservancy"
"2019","Parks and Recreation (Department of)","New York Restoration Group"
"2019","Parks and Recreation (Department of)","Prospect Park Alliance"
"2019","Parks and Recreation (Department of)","Randall's Island Park Alliance"
"2019","Parks and Recreation (Department of)","Riverside Park Conservancy"
"2019","Parks and Recreation (Department of)","Row New York"
"2019","Parks and Recreation (Department of)","Snug Harbor Cultural Center & Botanical Garden"
"2019","Parks and Recreation (Department of)","Van Cortlandt Park Conservancy"
"2019","Parks and Recreation (Department of)","Washington Sq Park Conservancy"
"2019","Parks and Recreation (Department of)","Wildlife Conservation Society"
"2019","Police Department","9/11 Memorial & Museum"
"2019","Police Department","American Cancer Society Movember Foundation"
"2019","Police Department","American Legion Post 460"
"2019","Police Department","Asian Jade Society"
"2019","Police Department","ASIS International"
"2019","Police Department","Association for a Better New York (ABNY)"
"2019","Police Department","Association of Hostage Negotiators"
"2019","Police Department","ATM Association"
"2019","Police Department","Bangladeshi American Police Association"
"2019","Police Department","Barbara and Donald Tober Foundation"
"2019","Police Department","Breaking the Cycle"
"2019","Police Department","Brooklyn Diocese"
"2019","Police Department","Brooklyn To Alaska Project"
"2019","Police Department","Cathedral Club of Brooklyn"
"2019","Police Department","Central Park Medical Unit"
"2019","Police Department","Centurion Foundation"
"2019","Police Department","Christian Cultural Center"
"2019","Police Department","COJO Flatbush"
"2019","Police Department","Communities United for Police Reform"
"2019","Police Department","Community Mayors for Special Children"
"2019","Police Department","COPS National Group"
"2019","Police Department","CWA Local 1182"
"2019","Police Department","Doodle for Hunger Celebrity Art Auction"
"2019","Police Department","Ellis Island Medals of Honor"
"2019","Police Department","Federal Law Enforcement Foundation"
"2019","Police Department","First Responders Children’s Foundation"
"2019","Police Department","Ford Foundation"
"2019","Police Department","Frederick Suydam Memorial Association"
"2019","Police Department","Harlem Mothers Save"
"2019","Police Department","Harvard Kennedy School"
"2019","Police Department","Headstrong Project"
"2019","Police Department","High School for Law Enforcement and Public Safety"
"2019","Police Department","Hotel Association of New York City Security/Safety"
"2019","Police Department","International Assoc. of Chiefs of Police"
"2019","Police Department","ISLG CUNY"
"2019","Police Department","Jamaica Muslim Center"
"2019","Police Department","Jewish Community Relations Council Board"
"2019","Police Department","John Jay College"
"2019","Police Department","Kansan City Police Foundation"
"2019","Police Department","LaSalle Academy"
"2019","Police Department","Law Enforcement Explorers"
"2019","Police Department","Law Enforcement Exploring Board"
"2019","Police Department","Leadership in Counter Terrorism"
"2019","Police Department","LifeCamp"
"2019","Police Department","Major Cities Chiefs Association"
"2019","Police Department","Make a Wish Foundation"
"2019","Police Department","Muslim American Society of New York Police Department"
"2019","Police Department","National Law Enforcement and Firefighters Children's Foundation"
"2019","Police Department","National Law Enforcement Association"
"2019","Police Department","National Law Enforcement Memorial Fund"
"2019","Police Department","National Law Enforcement Officers Memorial Fund"
"2019","Police Department","National Police Defense Foundation"
"2019","Police Department","New Greater Bethel Ministries"
"2019","Police Department","New York Board of Rabbis"
"2019","Police Department","New York Cares Coat Drive"
"2019","Police Department","New York City Police Foundation"
"2019","Police Department","New York Friendly Sons of St. Patrick"
"2019","Police Department","New York Law Enforcement Foundation"
"2019","Police Department","New York State Shields"
"2019","Police Department","Northeast Corridor Coalition"
"2019","Police Department","NY Police and Fire Widows Children’s Benefit Fund"
"2019","Police Department","NYC Multicultural Festival"
"2019","Police Department","NYC Police Anchor Club"
"2019","Police Department","NYPD Hispanic Society"
"2019","Police Department","NYU School of Law"
"2019","Police Department","Police Athletic League"
"2019","Police Department","Police Executive Research Forum"
"2019","Police Department","Police Management Institute (PMI)"
"2019","Police Department","PRATT Institute"
"2019","Police Department","Public Safety Summit (Hosted by Leadership for a Networked World)"
"2019","Police Department","Rabbinical Alliance of America"
"2019","Police Department","Rabbinical Alliance of America’s Chai Elul Siyum Hashas"
"2019","Police Department","Real Estate Board of NY (REBNY)"
"2019","Police Department","Robin Hood Foundation"
"2019","Police Department","Ronald McDonald House"
"2019","Police Department","Rose of Carmel"
"2019","Police Department","Rotary Club of New York"
"2019","Police Department","Silver Shield Foundation"
"2019","Police Department","St. Anthony’s Shelter of Renewal"
"2019","Police Department","St. Mary’s Hospital"
"2019","Police Department","St. Patrick’s Day Foundation"
"2019","Police Department","St. Thomas Aquinas College"
"2019","Police Department","Staten Island Chamber of Commerce"
"2019","Police Department","Stephen Siller Tunnel to Towers Foundation"
"2019","Police Department","Sunshine Kids Organization"
"2019","Police Department","TCS NYC Marathon"
"2019","Police Department","The American Legion"
"2019","Police Department","The Fedcap Group"
"2019","Police Department","The Institute for Defense & Government Advancement"
"2019","Police Department","The Long Ireland"
"2019","Police Department","The National Organization of Black Law Enforcement Executives (NOBLE)"
"2019","Police Department","Theodore Roosevelt Association"
"2019","Police Department","Tiger Foundation"
"2019","Police Department","Travis Manion Foundation"
"2019","Police Department","Tri-State Law Enforcement Foundation"
"2019","Police Department","UJA-Federation of New York’s Investment Management Division"
"2019","Police Department","United Federation of Teachers"
"2019","Police Department","Villa Maria Academy"
"2019","Police Department","Voices of September 11th"
"2019","Police Department","West Indian American Day Carnival Association"
"2019","Police Department","Westchester Friendly Sons of St. Patrick"
"2019","Rent Guidelines Board","No organizations to report"
"2019","Sanitation (Department of)","The Foundation for New York's Strongest"
"2019","School Construction Authority","No organizations to report"
"2019","Taxi and Limousine Commission","No organizations to report"
"2019","Teacher's Retirement System","No organizations to report"
"2019","Veterans' Services (Department of)","GI Go Fund"
"2019","Veterans' Services (Department of)","Empire Vets"
"2019","Youth and Community Development (Department of)","No organizations to report"
"2020","Actuary (Office of)","No organizations to report"
"2020","Administration for Children's Services","Arab-American Family Support Center"
"2020","Administration for Children's Services","Bronx RHIO"
"2020","Administration for Children's Services","Center for Community Alternatives"
"2020","Administration for Children's Services","Center for Court Innovation"
"2020","Administration for Children's Services","Center for Family Life"
"2020","Administration for Children's Services","Children's Aid NYC"
"2020","Administration for Children's Services","Graham Windham"
"2020","Administration for Children's Services","JBFCS"
"2020","Administration for Children's Services","JCCA"
"2020","Administration for Children's Services","Lutheran Social Services of Metropolitan New York"
"2020","Administration for Children's Services","Montefiore Health Systems"
"2020","Administration for Children's Services","NYU McSilver Institute for Poverty Policy and Research"
"2020","Administration for Children's Services","Planned Parenthood of Greater NY"
"2020","Administration for Children's Services","Queens Comprehensive Perinatal Council, Inc"
"2020","Administration for Children's Services","Rising Ground"
"2020","Administration for Children's Services","SCO Family of Services"
"2020","Administrative Trials and Hearings (Office of)","No organizations to report"
"2020","Administrative Trials and Hearings (Office of)","No organizations to report"
"2020","Aging (Department for the)","No organizations to report"
"2020","Board of Correction","No organizations to report"
"2020","Board of Education Retirement System","No organizations to report"
"2020","Board of Standards and Appeals","No organizations to report"
"2020","Borough President - Bronx","No organizations to report"
"2020","Borough President - Brooklyn","Make Music New York Inc"
"2020","Borough President - Brooklyn","Brookdale Hospital Medical Center"
"2020","Borough President - Brooklyn","Kingsbrook Jewish Medical Center"
"2020","Borough President - Brooklyn","New York Presbyterian Brooklyn Methodist Hospital"
"2020","Borough President - Brooklyn","Wyckoff Heights Medical Center"
"2020","Borough President - Brooklyn","Interfaith Medical Center"
"2020","Borough President - Brooklyn","Maimonidies Medical Center"
"2020","Borough President - Brooklyn","NYU Langone - Brooklyn"
"2020","Borough President - Brooklyn","The Campaign Against Hunger"
"2020","Borough President - Brooklyn","Reaching Out Community Services, Inc."
"2020","Borough President - Brooklyn","Children of the Light Food Pantry Inc"
"2020","Borough President - Brooklyn","Myrtle Avenue Brooklyn District Management Association Inc"
"2020","Borough President - Brooklyn","North Brooklyn Coalition of Neighbors Helping Neighbors (North Brooklyn
Angels)"
"2020","Borough President - Brooklyn","Brownsville Community Culinary Center"
"2020","Borough President - Brooklyn","MO Better Jaguars Football Inc."
"2020","Borough President - Brooklyn","Groundswell NYC"
"2020","Borough President - Brooklyn","The Friends of BQGreen"
"2020","Borough President - Brooklyn","The Cultural Museum of African Art Inc—The Eric Edwards Collection"
"2020","Borough President - Brooklyn","Warbasse Jewish Heritage Congregation"
"2020","Borough President - Brooklyn","Citizen's Committee for Children of New York"
"2020","Borough President - Brooklyn","Urban Strategies, Inc."
"2020","Borough President - Brooklyn","Community Help in Park Slope, Inc."
"2020","Borough President - Brooklyn","Women In Need, Inc."
"2020","Borough President - Brooklyn","Good Shepherd Services"
"2020","Borough President - Brooklyn","Brooklyn Alliance Capital, Inc."
"2020","Borough President - Brooklyn","Brooklyn NY for Life Inc"
"2020","Borough President - Manhattan","No organizations to report"
"2020","Borough President - Queens","Alliance of South Asian American Labor"
"2020","Borough President - Queens","Alpha Phi Alpha Senior Citizens Center, Inc."
"2020","Borough President - Queens","Christ for the World Chapel"
"2020","Borough President - Queens","Chinese-American Planning Council"
"2020","Borough President - Queens","Juniper Park Civic Association"
"2020","Borough President - Queens","Lions District 20-K1 Foundation, Inc."
"2020","Borough President - Queens","MinKwon Center for Community Action"
"2020","Borough President - Queens","Queens Botanical Garden"
"2020","Borough President - Queens","YWCA of Queens"
"2020","Borough President - Staten Island","No organizations to report"
"2020","Buildings (Department of)","No organizations to report"
"2020","Business Integrity Commission","No organizations to report"
"2020","Campaign Finance Board","No organizations to report"
"2020","Census (Office of the)","No organizations to report"
"2020","Chief Medical Examiner (Office of)","No organizations to report"
"2020","City Clerk (Office of)","No organizations to report"
"2020","City Council","No organizations to report"
"2020","City Planning (Department of)","No organizations to report"
"2020","Citywide Administrative Services (Department of)","New York Blood Center (through the citywide blood donation program promoting blood donations by New York City employees)."
"2020","Civil Service Commision","No organizations to report"
"2020","Civilian Complaint Review Board","No organizations to report"
"2020","Collective Bargaining (Office of)","No organizations to report"
"2020","Comptroller","Publicolor Stir Splatter + Roll Gala"
"2020","Comptroller","LSA Family Health Service Spirit of East Harlem Gala"
"2020","Comptroller","Mark DeGarmo Dance's Dance for Dance Gala"
"2020","Comptroller","Friends of Morningside Park 125th Anniversary"
"2020","Comptroller","New York Building Congress 99th Anniversary Leadership Awards Luncheon"
"2020","Comptroller","New York Building Congress 2020 Industry Recognition Event"
"2020","Comptroller","Zion Baptist Church Retirement Celebration of Rev. Dr. M. Marquette Peace"
"2020","Comptroller","China Press 30th Anniversary"
"2020","Comptroller","National Development Council 50th Anniversary Celebration: Celebrating the Past, Honoring the Present, and Embracing the Future 50th Anniversary Celebration"
"2020","Comptroller","United Jewish Appeal - Federation of New York Lawyer's Division Annual Event"
"2020","Comptroller","Homecrest Community Services 23rd Annual Lunar New Year Award and Gala Celebration"
"2020","Comptroller","Achiezer Annual Gala"
"2020","Comptroller","Alpha Gamma Lambda Chapter of the Alpha Phi Alpha Fraternity 7th Annual Living the Dream Award"
"2020","Comptroller","Hoy Yin Association of New York Chinese New Year Gala"
"2020","Comptroller","New York Shandong Association Inauguration of the 19th Board of Directors and Lunar New Year Gala"
"2020","Comptroller","United Jewish Appeal - Federation of New York Real Estate Executives Group Annual Gala"
"2020","Comptroller","South Asian Times Couple of the Year 2019 Ranju and Ravi Batra"
"2020","Comptroller","Alpha Phi Alpha Senior Citizens Center 10th Annual Valentine's Day Gala"
"2020","Comptroller","Chinese-American Planning Council Annual Lunar New Year Celebration"
"2020","Comptroller","Jamaica Bangladesh Friends Society 20th Anniversary Celebration and Installation of Executive Committee"
"2020","Comptroller","International Pentecostal City Mission Food Program 19th Annual Anniversary Awards Dinner"
"2020","Comptroller","Bangladesh Society International Mother Language Day Celebration 2020"
"2020","Comptroller","Wagner College Holocaust Center 75th Anniversary of the Liberation of Auschwitz"
"2020","Comptroller","Yeshiva Kehilath Yakov Gala Dinner"
"2020","Comptroller","Rainbow PUSH Coalition and Citizenship Education Fund 23rd Annual Wall Street Project Economic Summit and Gala Fundraiser"
"2020","Comptroller","Sponsors for Educational Opportunity 11th Annual Alternative Investments Conference"
"2020","Comptroller","Forest Hills Jewish Center Annual Gala Dinner Dance"
"2020","Comptroller","Council of Jewish Organizations Staten Island 53rd Annual Celebration"
"2020","Comptroller","North Bronx National Council of Negro Women Child Development Center 2020 Legacy Education Luncheon"
"2020","Comptroller","Chinese American Insurance Association 2020 Lunar New Year Annual Banquet"
"2020","Comptroller","Shapla Welfare Associates New York 24th Annual Reunion"
"2020","Comptroller","Amas Musical Theater 51st Anniversary Benefit"
"2020","Comptroller","Young Women’s Christian Association of Queens 42nd Anniversary Gala"
"2020","Comptroller","Greater New York Chapter of the Links Women of Distinction Spirit Awards Luncheon and Fashion Show"
"2020","Comptroller",
"2020","Comptroller","Long Island Conservatory of Music Fundraiser Gala"
"2020","Comptroller","United Jewish Appeal - Federation of New York Lawyers Division 19th Annual Stephen E. Banner Corporate Counsel Event"
"2020","Comptroller","Jewish Children's Museum 15th Anniversary Dinner"
"2020","Comptroller","IVYinc New York SOAR"
"2020","Comptroller","New York Building Congress 99th Anniversary Leadership Awards Luncheon"
"2020","Comptroller","Council of Jewish Organizations Flatbush 41st Annual Community Legislative Breakfast"
"2020","Comptroller","DOROT 44th Annual Spring Benefit"
"2020","Comptroller","Chinatown Manpower Project 2020 Career Building Awards Gala"
"2020","Comptroller","Chinese Merchants Association 127th Anniversary and 98th National Convention"
"2020","Comptroller","East Harlem Tutorial Program 34th Annual Benefit"
"2020","Comptroller","Stuyvesant High School Parents’ Association Annual Spring Feast Dinner"
"2020","Comptroller","Jewish Image Magazine New Year Edition"
"2020","Comptroller","United Jewish Appeal - Federation of New York Hospitality Division's Virtual Annual Event"
"2020","Comptroller","Hope Community 52nd Annual Community Service Awards Dinner"
"2020","Comptroller","Chinatown Manpower Project 2020 Virtual Gala: Rise Above the Storm"
"2020","Comptroller","New York Tamil Sangam 50th Anniversary Golden Jubilee Celebration ""Journey of Memories"""
"2020","Comptroller","United Chinese Association of Brooklyn 18th Anniversary Virtual Fundraising Gala"
"2020","Comptroller","New York Building Congress 2020 Industry Recognition Event"
"2020","Comptroller","Make the Road New York Annual Dignity, Community & Power Awards Gala"
"2020","Comptroller","MinKwon Center for Community Action 36th Anniversary Virtual Gala"
"2020","Comptroller","Dominican Sunday Community Services 25th Anniversary Virtual Gala"
"2020","Comptroller","Jewish Community Relations Council"
"2020","Comptroller","El Museo del Barrio"
"2020","Comptroller","Center for an Urban Future"
"2020","Comptroller","Yeshiva Darchei Torah"
"2020","Comptroller","U.S. Sichuan & Chongqing General Association"
"2020","Comptroller","Korean American Association of Greater New York"
"2020","Comptroller","Queens Jewish Community Council"
"2020","Comptroller","National Association of Securities Professionals"
"2020","Comptroller","Day Care Council of New York"
"2020","Comptroller","Central Family Life Center"
"2020","Comptroller","Queens County 44th Annual St. Patrick's Day Parade"
"2020","Comptroller","Waterfront Alliance"
"2020","Comptroller","City & State"
"2020","Comptroller","New York Communicates for Change"
"2020","Comptroller","New York League of Conservation Voters"
"2020","Comptroller","Association For A Better New York"
"2020","Conflicts of Interest Board","No organizations to report"
"2020","Consumer and Worker Protection (Department of)","No organizations to report"
"2020","Correction (Department of)","Correction Officers' Benevolent Association Widows and Children Fund"
"2020","Council District 28 (Adrienne E. Adams)","No organizations to report"
"2020","Council District 3 (Corey Johnson)","No organizations to report"
"2020","Council District 50 (Steven Matteo)","No organizations to report"
"2020","Cultural Affairs (Department of)","Friends of Materials for the Arts"
"2020","Design and Construction (Department of)","No organizations to report"
"2020","District Attorney - Bronx County","No organizations to report"
"2020","District Attorney - Kings County","No organizations to report"
"2020","District Attorney - New York County","No organizations to report"
"2020","District Attorney - Queens County","No organizations to report"
"2020","District Attorney - Richmond County","No organizations to report"
"2020","Economic Development Corporation","No organizations to report"
"2020","Education (Department of)","Wagner College Holocaust Center"
"2020","Education (Department of)","100 Black Men"
"2020","Emergency Management (Office Of)","No organizations to report"
"2020","Employees' Retirement System","No organizations to report"
"2020","Environmental Protection (Department of)","No organizations to report"
"2020","Equal Employment Practices Commission","No organizations to report"
"2020","Finance (Department of)","No organizations to report"
"2020","Financial Information Services Agency / Office of Payroll Administration","No organizations to report"
"2020","Fire Department","FDNY Foundation"
"2020","Fire Pension Fund","No organizations to report"
"2020","Health and Hospitals Corporation","No organizations to report"
"2020","Health and Mental Hygiene (Department of)","No organizations to report"
"2020","Homeless Services (Department of)","No organizations to report"
"2020","Housing Authority","No organizations to report"
"2020","Housing Development Corporation","No organizations to report"
"2020","Housing Preservation and Development (Department of)","No organizations to report"
"2020","Human Resources Administration","No organizations to report"
"2020","Human Rights Commission","No organizations to report"
"2020","Independent Budget Office","No organizations to report"
"2020","Information Technology and Telecommunications (Department of)","No organizations to report"
"2020","Investigation (Department of)","No organizations to report"
"2020","Labor Relations (Office of)","No organizations to report"
"2020","Landmarks Preservation Commission","No organizations to report"
"2020","Law Department","No organizations to report"
"2020","Management and Budget (Office of)","No organizations to report"
"2020","Mayor's Office","Volunteers of America of Greater New York"
"2020","Mayor's Office","Korean American Family Support Center"
"2020","Mayor's Office","Bridge Builders Community Partnership Inc."
"2020","Mayor's Office","Met Council"
"2020","Mayor's Office","here there and EVERYwhere"
"2020","Mayor's Office","Montefiore Medical Center"
"2020","Mayor's Office","Safe Horizon"
"2020","Mayor's Office","Safe Passage"
"2020","Mayor's Office","Violence Intervention Program"
"2020","Mayor's Office","Sanctuary for Families"
"2020","Mayor's Office","Arab Amercian Family Support Center"
"2020","Mayor's Office","Women for Afghan Women"
"2020","Mayor's Office","Council of Economic Education"
"2020","Mayor's Office","ExpandED"
"2020","Mayor's Office","Borough of Manhattan Community College"
"2020","Mayor's Office","City College of New York"
"2020","Mayor's Office","HERE to HERE / CareerWise"
"2020","Mayor's Office","iQ4"
"2020","Mayor's Office","Kingsborough Community College"
"2020","Mayor's Office","LaGuardia Community College"
"2020","Mayor's Office","Per Scholas"
"2020","Mayor's Office","Queensborough Community College"
"2020","Mayor's Office of Contract Services","No organizations to report"
"2020","Mayor's Office of the Chief Technology Officer","Coding It Forward"
"2020","Mayor's Office of the Chief Technology Officer","City University of New York"
"2020","New York City Cyber Command","No organizations to report"
"2020","Parks and Recreation (Department of)","No organizations to report"
"2020","Police Department","All Stars Project Inc/Operation Conversation: Cops & Kids"
"2020","Police Department","Asian Jade Society"
"2020","Police Department","ASIS International"
"2020","Police Department","Association for a Better New York (ABNY)"
"2020","Police Department","Astoria Civic Association"
"2020","Police Department","Breaking the Cycle"
"2020","Police Department","Centurion Foundation"
"2020","Police Department","Citizens Crime Commission"
"2020","Police Department","Council of Jewish Organizations of Staten Island"
"2020","Police Department","COPS National Group"
"2020","Police Department","The Detective Rafael Ramos Foundation"
"2020","Police Department","Downtown Lower Manhattan Association"
"2020","Police Department","Federal Drug Agents Foundation"
"2020","Police Department","Federal Law Enforcement Foundation"
"2020","Police Department","First Responder's Children's Foundation"
"2020","Police Department","Greater Harlem Chamber of Commerce"
"2020","Police Department","Harlem Children's Zone"
"2020","Police Department","Jewish Children's Museum"
"2020","Police Department","Law Enforcement Explorers"
"2020","Police Department","Major Cities Chiefs Association"
"2020","Police Department","Manhattan Institute"
"2020","Police Department","The Marshall Project"
"2020","Police Department","Metro Industrial Areas Foundation"
"2020","Police Department","National Law Enforcement Officers Memorial Fund"
"2020","Police Department","National Supermarket Association"
"2020","Police Department","NYC & Company"
"2020","Police Department","New York City Police Foundation"
"2020","Police Department","New York City Police Reserve Association"
"2020","Police Department","One Hundred Black Men, Inc."
"2020","Police Department","Partnership for New York City"
"2020","Police Department","Police Athletic League"
"2020","Police Department","Police Executive Research Forum"
"2020","Police Department","Police Management Institute"
"2020","Police Department","Queens Chamber of Commerce"
"2020","Police Department","The Real Estate Board of New York (REBNY)"
"2020","Police Department","Robin Hood Foundation"
"2020","Police Department","Sigma Pi Phi"
"2020","Police Department","Silver Shield Foundation"
"2020","Police Department","Stephen Siller Tunnel to Towers Foundation"
"2020","Police Department","Tri-State Law Enforcement Foundation"
"2020","Police Department","9/11 Memorial & Museum"
"2020","Police Pension Fund","No organizations to report"
"2020","Probation (Department of)","No organizations to report"
"2020","Records (Department of)","The New York Archival Society"
"2020","Rent Guidelines Board","No organizations to report"
"2020","Sanitation (Department of)","The Foundation for New York's Strongest d/b/a Sanitation Foundation"
"2020","School Construction Authority","No organizations to report"
"2020","Small Business Services (Department of)","No organizations to report"
"2020","Special Commissioner of Investigation, NYC School District","No organizations to report"
"2020","Taxi and Limousine Commission","No organizations to report"
"2020","Teachers' Retirement System","No organizations to report"
"2020","Transportation (Department of)","No organizations to report"
"2020","Veteran's Services (Department of)","GI Go Fund"
"2020","Veteran's Services (Department of)","V.E.T.S Food Pantries"
"2020","Veteran's Services (Department of)","The Mission Continues"
"2020","Veteran's Services (Department of)","PsychArmor"
"2020","Water Board","No organizations to report"
"2020","Youth and Community Development (Department of)","No organizations to report"
"2021","Actuary, Office of the","No organizations to report"
"2021","Administration for Children's Services","A Place to Be(ad) Me"
"2021","Administration for Children's Services","Center for Court Innovation"
"2021","Administration for Children's Services","ECPAT-USA"
"2021","Administration for Children's Services","Lutheran Social Services of Metropolitan New York"
"2021","Administration for Children's Services","Montefiore Medical Center"
"2021","Administration for Children's Services","New York Foundling"
"2021","Administration for Children's Services","NYU Langone Health"
"2021","Administration for Children's Services","Rising Ground"
"2021","Administration for Children's Services","Safe Horizon"
"2021","Administration for Children's Services","SCO Family of Services"
"2021","Administration for Children's Services","Techie Youth"
"2021","Administration for Children's Services","Youth Justice Network"
"2021","Administrative Tax Appeals (Office of)","No organizations to report"
"2021","Administrative Trials and Hearings (Office of)","No organizations to report"
"2021","Aging (Department for the)","No organizations to report"
"2021","Board of Corrections","No organizations to report"
"2021","Board of Education Retirement System","No organizations to report"
"2021","Board of Elections","No organizations to report"
"2021","Board of Standards and Appeals","No organizations to report"
"2021","Borough President - Bronx","No organizations to report"
"2021","Borough President - Brooklyn","Chamah"
"2021","Borough President - Brooklyn","Songs of Solomon: An Inspirational Ensemble, Inc."
"2021","Borough President - Brooklyn","DreamMaker DreamDoer DreamSupporter"
"2021","Borough President - Brooklyn","Brooklyn Caribbean Literary Festival"
"2021","Borough President - Brooklyn","Mother Cabrini Health Foundation"
"2021","Borough President - Brooklyn","The Dad Gang"
"2021","Borough President - Brooklyn","I Hold the Key, Inc."
"2021","Borough President - Brooklyn","Promise Project"
"2021","Borough President - Brooklyn","Veterans Action Group Buffalo Soldiers of America Inc."
"2021","Borough President - Brooklyn","Caribbean Women's Health Association"
"2021","Borough President - Brooklyn","GrowNYC"
"2021","Borough President - Brooklyn","CAMBA Food Pantry"
"2021","Borough President - Brooklyn","Bed-Stuy Campaign Against Hunger (Food Pantry)"
"2021","Borough President - Brooklyn","St. Cecilia's Gift of Love Food Pantry"
"2021","Borough President - Brooklyn","Siloam Presbyterian Church Food Pantry"
"2021","Borough President - Brooklyn","St. Augustine American Catholic Church (Food Pantry)"
"2021","Borough President - Brooklyn","Southside United HDFC Inc. / Los Sures Social Service (Food Pantry)"
"2021","Borough President - Brooklyn","Caribbean American Steel Pan Education Ctr (Maranantha) (Food Pantry)"
"2021","Borough President - Brooklyn","Open Door To Heaven Outreach Ministry Inc. (Food Pantry)"
"2021","Borough President - Brooklyn","Original Pentecostal Apostolic Church (Food Pantry)"
"2021","Borough President - Brooklyn","Reaching Out Community Service (Food Pantry)"
"2021","Borough President - Brooklyn","Gethsemane SDA Church (Food Pantry)"
"2021","Borough President - Brooklyn","Child Development Support Corp. (Food Pantry)"
"2021","Borough President - Brooklyn","Christian Cultural Center (Food Pantry)"
"2021","Borough President - Brooklyn","Church of God Inc. (Food Pantry)"
"2021","Borough President - Brooklyn","Church of God of Prophecy - Crown Heights (Food Pantry)"
"2021","Borough President - Brooklyn","Full Gospel Assembly (Food Pantry)"
"2021","Borough President - Brooklyn","God's Battalion Prayer Church (Food Pantry)"
"2021","Borough President - Brooklyn","God's Deliverance Temple, Inc. (Food Pantry)"
"2021","Borough President - Brooklyn","Greater Unified Free Will Baptist Church (Food Pantry)"
"2021","Borough President - Brooklyn","Hannah Kosher Food Shabbat Foundation (Food Pantry)"
"2021","Borough President - Brooklyn","Hanson Place SDA Community Service (Food Pantry)"
"2021","Borough President - Brooklyn","Hebron SDA Church (Food Pantry)"
"2021","Borough President - Brooklyn","Holy Cross Church Food Pantry"
"2021","Borough President - Brooklyn","Holy Innocents (Food Pantry)"
"2021","Borough President - Brooklyn","St. Stephen Outreach Inc. (Food Pantry)"
"2021","Borough President - Brooklyn","The Hope Center Development Corporation (Food Pantry)"
"2021","Borough President - Brooklyn","The House of David Church (Food Pantry)"
"2021","Borough President - Brooklyn","Zichron Acheinu Levy Menachem Tzion (Food Pantry)"
"2021","Borough President - Brooklyn","Act of Faith Ministries (Food Pantry)"
"2021","Borough President - Brooklyn","Ammi Evangelical Baptist Church (Food Pantry)"
"2021","Borough President - Brooklyn","Basilica of Our Lady of Perpetual Help (Food Pantry)"
