"year","agency","name_of_not_for_profit"
"2019","Borough President - Queens","Kiwanis Club of Howard Beach"
"2019","Borough President - Queens","Kiwanis Club of Sunnyside"
"2019","Borough President - Queens","KLM Jr. Foundation"
"2019","Borough President - Queens","Korean American Association of Queens, New York"
"2019","Borough President - Queens","Korean American Chamber of Commerce of New York Metro, Inc."
"2019","Borough President - Queens","Korean American Civic Empowerment"
"2019","Borough President - Queens","Korean American Family Service Center"
"2019","Borough President - Queens","Korean Community Services of Metropolitan New York, Inc."
"2019","Borough President - Queens","Korean-American Youth Foundation"
"2019","Borough President - Queens","Laurelton Memorial Day Committee"
"2019","Borough President - Queens","Lions Club of Brookeville"
"2019","Borough President - Queens","Lions District 20-K1 Foundation, Inc."
"2019","Borough President - Queens","LiveOn NY"
"2019","Borough President - Queens","Long Island Conservatory of Music, Inc."
"2019","Borough President - Queens","Medical Society of the County of Queens, Inc."
"2019","Borough President - Queens","Michael D. Richardson Foundation, Inc."
"2019","Borough President - Queens","MinKwon Center for Community Action"
"2019","Borough President - Queens","Mount Moriah Community Church, Inc."
"2019","Borough President - Queens","Mount Zion Baptist Church of Jamaica, Queens County, New York"
"2019","Borough President - Queens","Museum of Chinese in America"
"2019","Borough President - Queens","National Council of Negro Women, Inc. (Queens County Section)"
"2019","Borough President - Queens","National Sorority of Phi Delta Kappa, Inc."
"2019","Borough President - Queens","National STONEWALL Rebellion Veterans' Association"
"2019","Borough President - Queens","New American Voters Association"
"2019","Borough President - Queens","New York Chinese Business Association"
"2019","Borough President - Queens","Organizing Committee for the 2019 Flushing Poetry Festival"
"2019","Borough President - Queens","Pakistan Independence Day Parade & Fair Committee, Inc."
"2019","Borough President - Queens","Praise Tabernacle, Inc."
"2019","Borough President - Queens","Project Hope Charities"
"2019","Borough President - Queens","Queens Botanical Garden"
"2019","Borough President - Queens","Queens County Bar Association"
"2019","Borough President - Queens","Queens Dominican Parade, Inc."
"2019","Borough President - Queens","Queens Interagency Council on Aging"
"2019","Borough President - Queens","Queens Jewish Community Council, Inc."
"2019","Borough President - Queens","Queens Symphony Orchestra, Inc."
"2019","Borough President - Queens","Rockaway Development & Revitalization Corporation"
"2019","Borough President - Queens","Russian American Foundation, Inc."
"2019","Borough President - Queens","SHARE"
"2019","Borough President - Queens","Shri Navagraha Devasthanam of North America, Inc."
"2019","Borough President - Queens","Society of Asian Federal Officers"
"2019","Borough President - Queens","Sreemadbhagbad Gita Sangha"
"2019","Borough President - Queens","St. David’s Episcopal Church"
"2019","Borough President - Queens","St. Mary Gate of Heaven Academy"
"2019","Borough President - Queens","Stuyvesant High School Parents’ Association"
"2019","Borough President - Queens","The Center for the Women of New York, Inc."
"2019","Borough President - Queens","The Chian Federation"
"2019","Borough President - Queens","The Episcopal Church of Grace and Resurrection"
"2019","Borough President - Queens","The Greater Allen A.M.E. Cathedral of New York"
"2019","Borough President - Queens","The Josephine Foundation"
"2019","Borough President - Queens","The Korean Community Services of Metropolitan New York, Inc."
"2019","Borough President - Queens","The Laurelton Club of the National Association of Negro Business and Professional Women’s Clubs, Inc."
"2019","Borough President - Queens","The Lewis H. Latimer Fund"
"2019","Borough President - Queens","The Links, Inc. (Greater Queens Chapter)"
"2019","Borough President - Queens","Theta Chi Chapter, Inc."
"2019","Borough President - Queens","Transitional Services for New York, Inc."
"2019","Borough President - Queens","Transportation Columbia Association of New York, Inc."
"2019","Borough President - Queens","WellLife Network"
"2019","Borough President - Queens","World Journal Culture Foundation"
"2019","Borough President - Queens","Young Israel of Forest Hills"
"2019","Borough President - Queens","Young Israel of Jamaica Estates"
"2019","Borough President - Queens","YWCA of Queens"
"2019","Borough President - Queens","Zeta Phi Beta Sorority, Inc. (Phi Zeta Zeta)"
"2019","Borough President - Queens","Queens County 44th Annual St. Patrick's Day Parade Breakfast"
"2019","Borough President - Queens","Council of Jewish Organizations of Flatbush"
"2019","Borough President - Queens","New York Urban League"
"2019","Borough President - Queens","Sponsors for Educational Opportunity"
"2019","Borough President - Queens","United Federation of Teachers"
"2019","Borough President - Queens","Brooklyn Anti-Violence Coalition"
"2019","Borough President - Queens","National Action Network"
"2019","Borough President - Queens","Muslim Community Network"
"2019","Borough President - Queens","Henry Street Settlement"
"2019","Borough President - Queens","Leadership Enterprise for a Diverse America"
"2019","Borough President - Queens","Waterfront Alliance"
"2019","Borough President - Queens","45th Precinct Community Council"
"2019","Borough President - Queens","Hatzolah of Flatbush"
"2019","Borough President - Queens","Churches United for Fair Housing"
"2019","Borough President - Queens","Met Council on Jewish Poverty"
"2019","Borough President - Queens","Center for Puerto Rican Studies"
"2019","Borough President - Queens","The New York Zero-to-Three Network"
"2019","Borough President - Queens","Plaza Del Sol Family Health Center"
"2019","Borough President - Queens","Beijing Association of New York and Chinese Business Association of New York"
"2019","Borough President - Queens","Jewish Community Center of Rockaway Peninsula"
"2019","Borough President - Queens","Korean American Association of Queens"
"2019","Borough President - Queens","Agudath Israel"
"2019","Borough President - Queens","Food & Water Watch"
"2019","Borough President - Queens","Exodus Transitional Community"
"2019","Borough President - Queens","Boro Park Jewish Community Council"
"2019","Borough President - Queens","350.org"
"2019","Borough President - Queens","Rochdale Village Senior Citizens Committee"
"2019","Borough President - Queens","Brooklyn Community Improvement Association"
"2019","Borough President - Queens","Association of Assistant Principals 77th Educational Convention"
"2019","Borough President - Queens","Korean American Association of Greater New York"
"2019","Borough President - Queens","NYC Hospitality Alliance 7th Anniversary"
"2019","Borough President - Queens","Families for Safe Streets"
"2019","Borough President - Queens","Community Voices Heard"
"2019","Borough President - Queens","Urban Upbound"
"2019","Borough President - Queens","Haitian American Lawyers Association of New York"
"2019","Borough President - Queens","Manhattan Theater Club"
"2019","Borough President - Queens","Worldwide Association of Small Churches & Professional Chaplains, Inc"
"2019","Borough President - Queens","United Community Civic Association"
"2019","Borough President - Queens","Korean American Assoication of Greater New York  59th Korean American Night Gala abd 116th Korean American Day"
"2019","Borough President - Queens","Center for Puerto Rican Studies Hunter College 45th Anniversary"
"2019","Borough President - Queens","International Pentecostal City Mission Food Program's 18th Annual Anniversary Awards Dinner"
"2019","Borough President - Queens","Yeshivah Kehilath Yakov Dinner"
"2019","Borough President - Queens","United Jewish Appeal - Federation of New York's Lawyers Division's Annual Event at The Pierre"
"2019","Borough President - Queens","United Jewish Appeal - Federation of New York Lawyer Division's 18th Annual Stephen E. Banner Corporate Counsel Event"
"2019","Borough President - Queens","Yeshiva Darchei Torah Testimonial 46th Anniversary Dinner"
"2019","Borough President - Queens","New York Northeastern Chinese Association Lunar New Year Celebration"
"2019","Borough President - Queens","Homecrest Community Services 22nd Annual Lunar New Year Award and Gala Celebration"
"2019","Borough President - Queens","One Hundred Black Men 39th Annual Benefit Gala"
"2019","Borough President - Queens","Yemeni American Merchants Association First Annual Gala"
"2019","Borough President - Queens","Chinese American Planning Council's 54th Annual Lunar New Year Celebration"
"2019","Borough President - Queens","SOMOS 2019 Albany Conference"
"2019","Borough President - Queens","Rainbow PUSH Coalition and Citizenship Education Fund 22nd Annual Wall Street Project Economic Summit and Gala Fundraiser"
"2019","Borough President - Queens","Majlis Ash-Shura 30th Anniversary Banquet"
"2019","Borough President - Queens","United Jewish Appeal - Federation of New York Real Estate Executives Group's Annual Gala"
"2019","Borough President - Queens","Narsingdi Zilla Somity, USA Inauguration Ceremony"
"2019","Borough President - Queens","Chinese American Insurance Association 28th Annual Chinese New Year of the Pig Banquet"
"2019","Borough President - Queens","Dominican Sunday Community Services Organization Dominican Heritage Month Celebration"
"2019","Borough President - Queens","Council of Jewish Organizations Flatbush 40th Annual Community Legislative Breakfast"
"2019","Borough President - Queens","St. Luke Baptist Church Reverend Dr. J.G. McCann, Sr.'s 26th Pastoral Anniversary"
"2019","Borough President - Queens","Sponsors for Educational Opportunity 10th Annual Alternative Investments Conference"
"2019","Borough President - Queens","P.A.'L.A.N.T.E. Harlem's 10th Annual Gala"
"2019","Borough President - Queens","Young Women’s Christian Association of Queens' 41st Annual Gala"
"2019","Borough President - Queens","Queens Interagency Council on Aging 48th Anniversary Benefit"
"2019","Borough President - Queens","Greater New York Chapter of the Links 70th Anniversary Diamonds and Pearls Gala"
"2019","Borough President - Queens","United Jewish Appeal - Federation of New York  Bankruptcy and Reorganization Dinner"
"2019","Borough President - Queens","Stuyvesant High School Parents' Association Annual Spring Feast Dinner"
"2019","Borough President - Queens","FDNY Phoenix Society 3rd Annual Awards and Scholarship Banquet and Asian Pacific Islander Heritage Celebration"
"2019","Borough President - Queens","Asian Americans for Equality Lunar New Year Banquet"
"2019","Borough President - Queens","Morris Park Community Association 45th Annual Dinner Dance"
"2019","Borough President - Queens","Chinatown Manpower Project 2019 Career Building Awards Gala"
"2019","Borough President - Queens","Muslim Community Network Sweet 16 Gala"
"2019","Borough President - Queens","Shapla Welfare Associates New York 23rd Annual Reunion"
"2019","Borough President - Queens","Muslim Bar Association of New York Annual Gala"
"2019","Borough President - Queens","Korean American Family Service Center 30th Annual Benefit Gala ""Raising Hope, Transforming Lives"""
"2019","Borough President - Queens","2019 Workers Unite Film Festival"
"2019","Borough President - Queens","West Side Spirit's 2019 Westy Awards"
"2019","Borough President - Queens","Metropolitan Community Church of New York Annual Easter Awards Banquet"
"2019","Borough President - Queens","Forum of Italian American Educators 35th Awards and Dinner Dance"
"2019","Borough President - Queens","Bronx Chamber of Commerce 17th Annual Gala"
"2019","Borough President - Queens","New Dramatists' 70th Annual Spring Luncheon"
"2019","Borough President - Queens","Fu Jian Association In USA 35th Anniversary"
"2019","Borough President - Queens","Safe Horizon’s 24th Annual Champion Awards Dinner"
"2019","Borough President - Queens","Jewish Children’s Museum’s 14th Annual Gala"
"2019","Borough President - Queens","United Jewish Appeal - Federation of New York's Entertainment, Media & Communications Division Annual Broadcast, Cable & Film Dinner"
"2019","Borough President - Queens","Armenian Bar Association's Public Servants Dinner 2019"
"2019","Borough President - Queens","Cents Ability 15th Year Anniversary Cocktail Reception"
"2019","Borough President - Queens","Korean American Lawyers Association of Greater New York Annual Gala"
"2019","Borough President - Queens","LiveOn NY 2019 Spring Gala"
"2019","Borough President - Queens","Medical Society of the County of Queens 212th Annual Dinner & President's Recognition Day"
"2019","Borough President - Queens","United Jewish Appeal - Federation of New York Lawyers Division's White Collar & Securities Group Annual Cocktail Reception"
